time,actual x,actual y,actual z,actual R,actual P,actual Y
13.504,1.28421,0.0760686,1.38092,-0.000732441,0.0461057,0.0393292
13.556,1.28489,0.0760646,1.38392,-0.000410963,0.0339635,0.0396798
13.576,1.28458,0.0761213,1.38113,-0.000574095,0.0441852,0.0396315
13.667,1.28379,0.0751479,1.38248,-0.00045847,0.039201,0.0383768
13.754,1.28403,0.0753799,1.38249,-0.000307541,0.0416454,0.0385747
13.842,1.28433,0.0757906,1.3818,-0.000525993,0.0428638,0.0389685
13.856,1.28433,0.0757906,1.3818,-0.000525993,0.0428638,0.0389685
13.876,1.28493,0.0761915,1.38316,-0.000481657,0.0363151,0.0396682
13.966,1.28375,0.0756322,1.38232,-0.000548543,0.0386893,0.0392236
14.054,1.28372,0.0766968,1.38135,-0.000596966,0.0440339,0.0398671
14.142,1.2835,0.0774092,1.38047,-0.000637415,0.0467096,0.0402911
14.156,1.2835,0.0774092,1.38047,-0.000637415,0.0467096,0.0402911
14.176,1.28368,0.0773795,1.38391,-0.000429501,0.033589,0.0406488
14.265,1.28297,0.0762432,1.38283,-0.000569773,0.0364601,0.0396952
14.357,1.28267,0.0770592,1.3821,-0.000167295,0.0414906,0.0407835
14.397,1.28287,0.0775247,1.38326,-0.000157698,0.0363151,0.0412077
14.487,1.28288,0.0748454,1.3836,-0.000104675,0.0351776,0.0380042
14.536,1.28308,0.0766758,1.38202,-0.000376535,0.0410691,0.0396722
14.596,1.28306,0.0757863,1.38136,-0.000312638,0.0443043,0.0399879
14.616,1.28306,0.0757863,1.38136,-0.000312638,0.0443043,0.0399879
14.702,1.2837,0.0741231,1.38311,-0.000290455,0.0352822,0.0376898
14.79,1.28384,0.075769,1.38181,-0.000508737,0.0423611,0.0391762
14.882,1.285,0.0758131,1.38307,-0.000396601,0.0376391,0.0400121
14.936,1.28504,0.07557,1.38209,-0.000363509,0.0400102,0.0392884
14.956,1.28504,0.07557,1.38209,-0.000363509,0.0400102,0.0392884
15.041,1.28345,0.0742471,1.38458,-0.000152522,0.0320241,0.0380579
15.129,1.28378,0.0754485,1.38151,-0.000107695,0.0433796,0.038697
15.214,1.28429,0.0759325,1.3808,-0.000142091,0.0445602,0.0388807
15.305,1.28457,0.0767268,1.38296,-7.43368e-05,0.0374252,0.0408916
15.316,1.28457,0.0767268,1.38296,-7.43368e-05,0.0374252,0.0408916
15.336,1.28446,0.0763714,1.38451,-6.71806e-05,0.0320494,0.0400704
15.421,1.28332,0.0754798,1.38312,-5.31266e-05,0.0370574,0.0394705
15.513,1.28325,0.0762967,1.38126,0.000165266,0.0441877,0.0395471
15.605,1.28362,0.0774913,1.38276,0.00011488,0.0395863,0.041722
15.616,1.28362,0.0774913,1.38276,0.00011488,0.0395863,0.041722
15.636,1.28375,0.0773701,1.38368,-1.28766e-05,0.0344654,0.0408877
15.725,1.28305,0.0758129,1.38325,-0.000215592,0.0359661,0.0398295
15.813,1.28273,0.0769229,1.38126,-0.00023758,0.0429571,0.039405
15.857,1.2831,0.0779906,1.38312,-0.000201296,0.0366729,0.0411013
15.916,1.28253,0.0770925,1.38018,0.000231493,0.048787,0.042474
15.936,1.28301,0.0750366,1.38381,6.4853e-05,0.0346829,0.038168
16.029,1.28339,0.0748848,1.38359,4.39499e-05,0.034444,0.0384261
16.12,1.28346,0.0759638,1.3819,-3.3514e-05,0.0413698,0.0388125
16.176,1.28397,0.0767966,1.38274,2.10182e-05,0.0391575,0.0403759
16.196,1.28385,0.0766229,1.3809,6.57435e-05,0.0451965,0.039264
16.283,1.28344,0.0745984,1.38417,0.00013798,0.0343715,0.037508
16.369,1.28427,0.0752903,1.38167,0.000273135,0.0428273,0.0387784
16.457,1.28495,0.0752078,1.38134,0.000473912,0.0438048,0.038707
16.516,1.2856,0.0754304,1.3832,0.000536377,0.0371316,0.0397803
16.536,1.28537,0.0756459,1.38043,0.000573233,0.0458826,0.0390677
16.577,1.28326,0.0739732,1.38462,-3.29348e-05,0.0312204,0.0378626
16.665,1.28295,0.074565,1.38202,0.000289639,0.0422972,0.0378455
16.753,1.28349,0.076594,1.3824,0.000425483,0.0411077,0.0405898
16.797,1.28319,0.0769925,1.38159,0.000343539,0.0426784,0.0405318
16.856,1.28281,0.0759954,1.38175,0.000330438,0.0425972,0.0409018
16.876,1.28281,0.0759954,1.38175,0.000330438,0.0425972,0.0409018
16.968,1.28312,0.0744705,1.38281,0.000199322,0.0369367,0.0375633
17.06,1.28313,0.0766478,1.38209,0.000156215,0.0410013,0.0395576
17.116,1.28365,0.0775281,1.382,0.000156245,0.039755,0.0407497
17.136,1.28365,0.0775281,1.382,0.000156245,0.039755,0.0407497
17.176,1.28329,0.0775037,1.38125,0.000444781,0.0449482,0.0412177
17.266,1.28316,0.0753346,1.38207,0.000421154,0.0400973,0.0379488
17.358,1.28418,0.0775778,1.38297,0.000319889,0.0370087,0.0411413
17.416,1.28415,0.0776914,1.38145,0.000448433,0.0414425,0.0408373
17.436,1.28415,0.0776914,1.38145,0.000448433,0.0414425,0.0408373
17.522,1.28335,0.0740841,1.38381,0.000309524,0.0330888,0.036913
17.618,1.28313,0.0759917,1.38265,0.000537408,0.0400703,0.0382696
17.676,1.28381,0.0768167,1.3823,0.000529555,0.0394427,0.0400444
17.696,1.28381,0.0768167,1.3823,0.000529555,0.0394427,0.0400444
17.786,1.28347,0.0755094,1.38297,0.000587964,0.0368551,0.0389288
17.877,1.2833,0.0761469,1.38202,0.000755404,0.0419138,0.0391553
17.916,1.28416,0.0768233,1.38369,0.000594767,0.0350781,0.0405434
18.001,1.28353,0.0752343,1.38378,0.000515899,0.0353746,0.038197
18.089,1.28357,0.0756138,1.38308,0.000662712,0.0388712,0.0387399
18.181,1.28443,0.0762427,1.38309,0.000829011,0.0384714,0.0399054
18.236,1.28485,0.0763644,1.38309,0.000724701,0.0367196,0.0399165
18.256,1.28472,0.0763764,1.38209,0.00085455,0.0404815,0.0399107
18.297,1.28394,0.0750873,1.38155,0.000991395,0.0400888,0.041448
18.389,1.28393,0.0752848,1.38253,0.000670032,0.0390436,0.0387667
18.437,1.28429,0.0756289,1.38342,0.000335521,0.0348018,0.0391371
18.496,1.28365,0.0758089,1.3816,0.000958364,0.042101,0.040063
18.516,1.28365,0.0758089,1.3816,0.000958364,0.042101,0.040063
18.608,1.28355,0.0755936,1.38307,0.000608165,0.0361682,0.0389741
18.656,1.28381,0.0761126,1.38269,0.000604258,0.0369167,0.0393693
18.716,1.28306,0.0762945,1.38154,0.00111616,0.0430277,0.0401234
18.736,1.28306,0.0762945,1.38154,0.00111616,0.0430277,0.0401234
